"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20","Perf(%)",
MMC,109.56,1.07,1405300,108.13,108.72,109.94,112.18,111.09,110.46,109.81,110.70,113.87,112.06,0,0,-0.43,-0.33,0.93,
LMT,361.27,-0.94,1401600,362.56,364.25,368.02,376.66,378.72,378.82,378.63,370.30,382.20,380.02,0,0,-1.50,-1.18,0.74,
PRGO,44.70,-1.13,1384300,44.28,44.43,44.82,47.28,49.39,49.85,50.23,45.01,47.73,51.27,0,0,-0.11,-0.11,2.98,
PVH,59.10,-5.35,1371000,60.87,61.21,61.62,60.40,59.27,59.85,60.86,61.91,61.36,55.70,0,0,-0.16,-0.10,19.86,
HSY,149.40,3.32,1354900,144.32,143.87,143.88,143.37,142.21,141.97,141.74,145.01,144.77,140.00,0,0,-0.18,-0.08,0.21,
LKQ,33.96,-2.53,1352700,33.42,32.85,32.24,30.87,29.80,29.58,29.43,32.14,31.09,29.35,0,0,0.14,0.12,4.36,
NUE,48.42,-0.78,1350200,48.41,48.41,48.29,46.97,45.72,45.60,45.63,48.69,47.12,44.76,0,0,0.03,0.06,4.83,
K,64.35,0.08,1339400,64.19,64.44,64.75,65.64,65.85,65.78,65.67,65.35,66.12,66.49,0,0,-0.07,-0.04,-2.16,
RL,68.23,-2.43,1309900,69.60,70.61,71.46,72.28,74.54,75.92,77.46,72.66,72.23,72.83,0,0,-0.06,-0.01,19.80,
LHX,178.94,-1.16,1263800,176.01,174.07,173.45,175.20,178.54,179.81,180.94,172.07,176.72,178.11,0,0,-0.31,-0.31,3.86,
PNR,54.15,0.71,1230600,52.36,51.61,50.71,47.63,44.79,44.08,43.50,50.81,47.39,43.74,0,0,0.18,0.19,-2.44,
PWR,65.12,0.98,1204000,64.31,63.49,62.12,56.12,50.41,48.93,47.69,62.56,55.77,47.84,0,0,0.32,0.35,0.57,
PAYX,88.02,1.64,1146100,85.50,84.56,83.56,80.15,77.86,77.53,77.34,83.62,79.40,76.48,0,0,0.14,0.16,2.92,
OTIS,63.58,1.52,1145800,62.58,62.61,62.77,62.19,59.69,58.69,57.74,63.27,62.78,60.38,0,0,-0.13,-0.06,-0.13,
PCAR,90.09,-0.57,1131200,89.45,89.22,88.90,86.75,83.25,82.14,81.14,89.40,87.15,82.76,0,0,0.05,0.09,0.57,
LEG,40.67,-3.88,1129900,41.81,42.21,42.56,41.87,40.30,40.01,39.84,43.24,42.51,39.06,0,0,-0.09,-0.04,2.78,
GPN,173.88,-0.21,1109500,169.17,168.94,170.10,172.59,172.63,172.40,172.01,170.92,173.60,174.37,0,0,-0.78,-0.56,11.38,
NTRS,81.66,0.10,1097500,80.85,81.17,81.52,81.48,81.88,82.34,82.89,82.86,81.70,81.15,0,0,-0.12,-0.02,11.19,
LNT,54.57,-0.56,1047800,55.39,55.46,55.21,53.90,52.89,52.68,52.50,55.46,53.78,52.00,0,0,0.14,0.13,3.77,
HSIC,61.67,0.16,1035600,61.84,62.21,62.26,62.38,62.13,62.07,62.05,62.66,62.80,62.57,0,0,0.19,0.15,10.26,
PH,237.56,-0.18,1021000,226.12,222.68,219.84,210.46,200.07,197.30,194.97,220.09,211.70,198.09,0,0,0.28,0.37,6.41,
GRMN,115.19,1.70,1009700,109.87,106.93,104.28,100.53,97.80,96.89,96.02,102.49,100.48,98.58,0,0,0.42,0.30,0.07,
HCA,138.50,0.68,1004200,134.22,133.26,132.55,129.38,125.24,124.47,124.01,133.28,131.71,121.01,0,0,0.08,0.13,6.37,
MSI,164.48,2.26,992500,163.52,164.40,164.45,159.02,154.75,154.22,153.92,167.13,158.85,149.22,0,0,0.18,0.32,3.51,
NOC,301.36,-1.96,946700,303.78,304.27,306.83,316.59,321.87,323.27,324.39,306.45,324.16,321.58,0,0,-0.95,-0.93,-0.03,
KEYS,112.97,1.66,945100,108.87,107.61,106.20,102.54,100.62,100.11,99.59,106.43,101.01,100.78,0,0,0.26,0.28,2.29,
PNW,83.79,-0.82,926100,83.18,83.01,82.31,79.51,79.14,79.48,79.92,82.90,77.31,77.61,0,0,0.24,0.28,4.95,
NSC,223.16,-1.16,906000,219.08,216.83,215.64,210.72,202.06,199.65,197.66,214.69,214.24,198.65,0,0,-0.22,-0.16,3.25,
ILMN,308.16,-1.14,880900,307.73,310.06,313.19,325.36,330.55,330.29,329.58,318.28,326.23,347.48,3,0,-1.00,-0.62,-0.80,
JBHT,124.55,-1.12,851400,125.31,125.90,127.08,129.30,126.17,124.70,123.31,128.18,132.73,128.23,0,0,-0.52,-0.40,-0.19,
MTB,99.06,-4.35,828700,101.99,101.87,101.34,101.38,105.53,107.84,110.34,101.44,100.86,103.53,0,0,0.21,0.18,25.10,
NOW,535.18,0.77,826200,513.09,508.89,505.20,482.28,447.35,435.12,423.49,509.49,482.92,446.60,14,15,0.07,0.59,-6.21,
PKI,141.30,2.09,820700,134.87,132.13,129.61,122.78,115.06,112.69,110.58,127.78,122.36,113.89,0,0,0.26,0.24,-9.35,
NWS,15.14,8.92,819600,13.88,13.75,13.78,13.89,13.52,13.41,13.33,13.71,14.40,13.49,0,0,-0.05,-0.04,4.56,
PPG,138.76,0.36,809800,135.20,133.98,132.69,126.56,120.20,118.77,117.68,133.63,126.75,117.24,0,0,0.11,0.22,2.24,
LDOS,90.47,-1.02,809400,88.48,87.45,87.20,88.74,90.71,91.08,91.24,86.41,88.78,92.09,0,0,-0.25,-0.22,4.60,
LW,66.39,-2.02,768700,66.76,67.25,67.77,67.05,66.67,66.88,67.18,69.08,66.46,65.34,0,0,-0.23,-0.08,14.28,
L,37.69,-0.53,764000,36.82,36.36,36.06,35.82,36.43,36.91,37.46,35.83,35.82,35.50,0,0,-0.01,-0.0097,12.89,
IQV,171.44,-0.16,759500,165.93,164.44,163.54,160.37,155.58,154.18,152.97,164.41,161.00,155.03,0,0,-0.08,0.04,1.29,
REGN,578.03,-1.83,748400,573.87,573.61,575.31,582.69,573.00,564.47,554.75,578.87,583.34,598.84,3,0,-1.28,-0.79,-1.81,
MCK,170.92,-0.02,730800,162.26,158.67,156.08,152.93,151.05,150.35,149.62,154.75,152.33,152.78,0,0,0.20,0.16,4.44,
PKG,123.21,0.55,704300,120.04,118.69,117.12,111.20,106.64,105.64,104.86,117.65,109.55,104.92,0,0,0.27,0.31,2.91,
KLAC,231.68,1.57,696000,217.28,212.45,208.69,201.40,194.14,191.35,188.53,208.90,200.15,196.88,0,0,0.04,0.23,0.28,
KMX,92.75,-0.61,682600,91.43,91.11,91.69,94.68,93.55,92.82,92.08,90.90,98.44,95.85,0,0,-0.30,-0.33,3.47,
HUM,432.55,-1.87,681800,430.09,428.09,426.12,416.22,402.10,396.65,391.21,429.28,415.66,404.44,10,3,0.13,0.45,-2.21,
ITW,209.42,0.26,678900,204.97,203.47,202.19,197.06,189.59,187.19,184.98,202.63,198.40,188.12,0,0,0.08,0.15,2.13,
PSA,231.33,0.29,668000,232.47,232.56,231.76,222.98,215.31,214.09,213.43,233.34,222.16,208.85,0,0,0.18,0.33,-4.00,
RHI,51.74,-0.92,663700,51.71,52.08,52.70,53.35,52.94,52.90,52.96,53.59,53.95,53.23,0,0,-0.29,-0.18,20.04,
J,97.61,-0.15,651700,97.49,97.36,97.03,94.15,91.21,90.51,89.93,97.80,93.95,89.32,0,0,0.0001,0.08,2.58,
MSCI,421.15,0.82,637300,389.71,377.77,369.27,359.40,348.83,343.72,338.22,363.71,358.28,353.87,0,0,0.59,0.40,-7.29,
INTU,352.26,0.37,623100,338.48,335.18,333.31,325.50,313.09,308.98,305.16,335.11,328.35,311.64,0,0,-0.41,-0.10,2.24,
NDAQ,133.20,-0.0075,599800,128.84,127.74,127.12,126.33,123.41,122.06,120.68,127.34,127.31,125.13,0,0,0.04,0.05,-2.64,
HAS,84.34,0.29,588900,84.02,84.40,84.48,82.21,80.76,80.96,81.40,85.70,81.85,78.42,0,0,-0.01,0.09,1.26,
JKHY,157.16,2.28,555100,155.50,155.60,156.63,162.30,165.54,165.56,165.18,156.91,162.60,171.79,0,0,-0.54,-0.43,1.06,
RMD,214.19,0.65,549600,203.40,196.98,190.94,182.66,178.12,176.17,174.07,187.51,179.09,180.35,0,0,1.06,0.80,2.99,
MHK,120.58,-1.30,541700,114.50,110.63,107.47,100.80,98.67,99.20,100.14,105.39,99.46,95.29,0,0,0.17,0.17,1.37,
GPC,94.67,-1.61,536300,94.92,95.28,95.92,95.55,93.12,92.60,92.30,97.02,96.84,92.31,0,0,-0.27,-0.16,4.04,
LH,213.93,-0.23,535500,209.95,207.23,203.68,193.54,185.80,183.70,181.90,203.16,189.66,184.70,0,0,0.88,0.82,-7.19,
MLM,256.18,-1.55,525900,260.64,260.29,257.74,241.72,230.78,229.09,228.06,260.14,235.24,222.66,13,12,0.40,0.75,2.05,
IDXX,478.10,2.16,519800,456.08,445.94,434.42,402.39,371.91,362.49,353.97,433.62,397.62,367.60,18,15,2.38,2.23,-8.71,
ORLY,448.51,-0.36,519800,448.18,449.67,452.03,453.74,443.26,439.14,435.25,455.64,460.44,446.33,0,0,-0.58,-0.40,1.46,
ROK,249.44,-0.34,518100,245.90,243.85,241.36,232.83,222.92,219.53,216.35,242.73,232.00,224.65,0,0,0.33,0.47,2.12,
RJF,77.51,-2.67,502500,78.13,78.09,77.78,75.90,74.91,74.98,75.19,78.51,75.77,73.68,0,0,0.09,0.13,10.42,
IT,147.98,1.18,497300,138.02,133.85,131.09,128.23,127.31,127.57,128.03,128.83,128.66,126.29,0,0,0.10,0.03,5.32,
MCO,290.63,-0.15,488100,280.32,278.20,278.70,281.00,275.78,272.83,269.62,278.67,284.12,281.11,0,0,-1.15,-0.87,-5.22,
MAA,122.67,-1.10,481400,121.18,120.24,119.74,118.39,117.94,118.10,118.29,119.59,118.06,116.85,0,0,-0.22,-0.12,2.40,
KSU,183.43,-0.10,477300,181.08,180.60,180.72,178.61,170.99,168.33,165.82,180.65,182.75,169.34,0,0,-0.24,-0.19,0.48,
PAYC,388.12,3.98,471600,378.99,376.20,369.28,337.44,314.55,308.25,302.42,376.98,323.65,312.64,20,20,1.78,2.33,4.36,
POOL,382.89,-0.27,440100,372.33,366.92,360.01,336.05,309.30,300.61,292.56,361.51,333.79,307.23,18,15,1.47,1.54,-15.82,
IEX,183.02,2.95,437100,179.44,180.45,181.71,179.84,173.87,172.12,170.61,184.12,182.01,171.65,0,0,-0.38,-0.16,2.62,
ODFL,207.02,0.41,424300,200.46,198.49,196.98,192.02,182.01,178.00,174.02,197.92,194.37,183.87,0,0,0.05,0.15,-3.73,
ISRG,733.87,0.77,406000,711.09,710.22,711.35,698.30,664.83,653.72,643.69,721.27,708.16,659.05,12,11,-1.34,-0.41,5.39,
IPGP,198.89,0.68,379400,194.76,192.91,189.69,177.90,167.96,165.08,162.59,190.87,172.64,168.66,0,0,0.97,0.99,2.74,
MKC,188.66,0.06,359300,188.13,189.14,190.67,192.55,187.75,185.61,183.51,192.65,196.35,189.65,0,0,-0.45,-0.31,-5.48,
GWW,390.63,3.11,327400,373.98,370.75,369.05,359.68,344.30,339.62,335.55,371.28,362.10,341.73,7,0,-0.68,-0.23,-0.62,
HII,152.72,0.60,323600,150.98,150.06,149.29,152.49,163.35,167.58,171.58,149.20,149.25,164.42,0,0,0.11,0.09,2.13,
GL,84.70,-1.85,283400,84.05,83.56,83.11,81.91,81.62,81.90,82.28,83.11,82.30,79.82,0,0,0.08,0.08,7.99,
RE,210.68,-0.54,271300,209.07,207.43,206.14,207.12,210.59,212.33,214.13,205.01,207.87,211.04,0,0,0.23,0.12,9.97,
MTD,1181.11,7.01,229800,1091.05,1069.36,1050.44,995.54,933.27,914.36,897.46,1045.27,997.72,918.42,17,16,2.57,2.53,-0.13,
MKTX,579.18,-0.34,145000,565.79,558.89,548.31,518.15,494.93,486.13,477.19,552.54,503.14,505.49,20,18,2.82,2.93,-7.66,
NVR,4146.33,-2.71,19300,4143.11,4141.91,4151.75,4069.12,3882.29,3828.67,3782.21,4201.90,4145.63,3799.88,15,16,-11.35,-5.28,-4.13,
